NetworkIPv4_CIDR;SerialNumber;CountryName;CountryCode;RegionName;RegionCode;CityName;Latitude;Longitude
1.0.5.0/24;13628;Spain;ES;Madrid;29;Alcobendas;40.5458;-3.6443
1.0.130.0/24;13588;Spain;ES;Madrid;29;Madrid;40.4143;-3.7016
1.0.131.0/24;13590;Spain;ES;Madrid;29;Madrid;40.4143;-3.7016
1.0.144.128/26;13532;Spain;ES;Catalonia;56;Barcelona;41.3891;2.1611
1.0.144.192/28;13533;Spain;ES;Catalonia;56;Barcelona;41.3891;2.1611
1.2.16.0/23;13560;Spain;ES;Catalonia;56;Barcelona;41.3891;2.1611
10.0.0.0/24;12160;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.5/32;12163;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.35/32;11496;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.47/32;11498;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.55/32;12169;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.155/32;11481;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.157/32;11450;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.160/32;11553;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.30.199/32;11525;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.40.0/24;2178;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.42.0/24;2176;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.43.0/24;2164;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.52.0/24;12416;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.0.56.0/24;2175;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.57.0/24;2174;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.58.0/24;2173;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.59.0/24;2172;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.60.0/24;2171;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.61.0/24;2170;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.62.0/24;2177;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.63.0/24;2180;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.64.0/24;2181;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.65.0/24;2182;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.66.0/24;2193;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.67.0/24;2192;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.68.0/24;2191;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.69.0/24;2190;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.70.0/24;2189;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.71.0/24;2188;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.72.0/24;2187;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.78.0/24;2185;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.0.79.0/24;2184;France;FR;Nouvelle-Aquitaine;NAQ;Pau;43.303999999999995;-0.3744
10.1.1.0/24;1864;France;FR;Île-de-France;IDF;Paris;48.8543;2.3527
10.1.2.0/24;1863;France;FR;Île-de-France;IDF;Paris;48.8543;2.3527
10.1.7.0/24;1866;France;FR;Île-de-France;IDF;Paris;48.8543;2.3527
10.1.27.78/32;11389;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.1.220.0/24;80;Australia;AU;New South Wales;02;Sydney;-33.8591;151.2002
10.2.0.0/24;9793;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.3.199.48/32;11514;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.4.75.0/24;3793;India;IN;Maharashtra;16;Pune;18.5213;73.8523
10.8.28.0/24;12177;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.10.1.128/25;10282;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.10.10.0/24;1241;France;FR;Pays de la Loire;PDL;Nantes;47.2145;-1.5512
10.10.11.0/27;1262;France;FR;Pays de la Loire;PDL;Nantes;47.2145;-1.5512
10.10.12.0/24;1263;France;FR;Pays de la Loire;PDL;Nantes;47.2145;-1.5512
10.10.51.48/29;4489;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.10.51.160/29;7791;India;IN;Tamil Nadu;25;Salem;11.6538;78.1554
10.10.68.24/30;13901;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.68.28/30;13922;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.74.0/30;4398;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.10.74.4/30;4397;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.10.74.40/29;4616;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.10.74.152/29;4613;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.10.78.128/29;7793;India;IN;Tamil Nadu;25;Salem;11.6538;78.1554
10.10.78.136/29;7792;India;IN;Tamil Nadu;25;Salem;11.6538;78.1554
10.10.84.224/30;13917;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.84.228/30;13923;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.160.200/30;13926;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.160.204/30;13919;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.164.144/30;13914;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.10.164.148/30;13924;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.12.0.0/24;12157;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.0.0/24;8672;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.16.0/21;5109;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.13.24.0/24;8168;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.25.0/24;8169;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.26.0/24;8140;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.28.0/24;8139;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.30.0/24;8138;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.31.0/24;8122;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.32.0/24;8109;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.36.0/24;8110;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.98.48/28;110;Australia;AU;New South Wales;02;Sydney;-33.8591;151.2002
10.13.168.0/24;8111;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.169.0/24;8112;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.170.0/24;8113;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.173.0/24;8114;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.13.175.0/24;8115;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.33.0/24;8116;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.36.0/24;8117;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.39.0/24;8118;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.40.0/24;8119;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.41.0/24;8120;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.42.0/24;8137;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.44.0/24;8124;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.45.0/24;8125;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.46.0/24;8126;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.49.0/24;8127;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.50.0/24;8128;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.14.51.0/24;8129;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.15.241.16/28;12625;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.16.7.0/24;12178;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.16.8.0/21;14232;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.40.0/23;13992;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.16.42.0/23;13991;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.16.44.0/25;13988;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.16.47.0/24;12475;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.16.64.0/21;14201;United Kingdom;GB;Birmingham;A7;Aston;52.4976;-1.8786
10.16.72.0/21;13996;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.16.80.0/21;14260;United Kingdom;GB;Trafford;O6;Sale;53.4236;-2.3113
10.16.96.0/21;14059;United Kingdom;GB;Glasgow City;V2;Glasgow;55.8309;-4.2143
10.16.104.0/21;14067;United Kingdom;GB;Glasgow City;V2;Glasgow;55.8309;-4.2143
10.16.136.0/28;14243;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.136.16/28;14239;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.136.32/28;14242;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.137.0/24;14244;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.138.0/23;14245;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.140.0/24;14240;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.141.0/24;14241;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.142.0/28;14246;United Kingdom;GB;Swindon;N9;Swindon;51.5747;-1.7823
10.16.160.0/24;14118;United Kingdom;GB;Highland;V3;Nairn;57.4903;-3.9002
10.16.164.0/25;14142;United Kingdom;GB;Highland;V3;Nairn;57.4903;-3.9002
10.16.166.0/24;14119;United Kingdom;GB;Highland;V3;Nairn;57.4903;-3.9002
10.16.167.0/24;14120;United Kingdom;GB;Highland;V3;Nairn;57.4903;-3.9002
10.16.168.0/24;14226;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.170.0/23;14230;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.172.0/23;14224;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.174.0/24;14227;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.176.0/23;14225;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.178.0/24;14234;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.179.0/24;14223;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.180.0/28;14229;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.183.0/25;14233;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.184.0/23;14235;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.186.0/24;14222;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.187.0/25;14217;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.187.128/27;14236;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.188.128/25;14237;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.190.0/28;14220;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.190.16/28;14221;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.192.0/21;14190;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.16.232.0/24;14208;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.16.233.0/26;13999;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.16.233.64/26;14066;United Kingdom;GB;Glasgow City;V2;Glasgow;55.8309;-4.2143
10.16.233.128/26;14264;United Kingdom;GB;Trafford;O6;Sale;53.4236;-2.3113
10.16.234.0/26;14144;United Kingdom;GB;Highland;V3;Nairn;57.4903;-3.9002
10.16.234.64/26;14207;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.16.235.0/25;14200;United Kingdom;GB;Birmingham;A7;Aston;52.4976;-1.8786
10.16.237.0/25;14231;United Kingdom;GB;Surrey;N7;Woking;51.3249;-0.5681
10.16.239.192/26;14215;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.0.0/24;12165;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.38.0/24;12485;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.48.0/24;11477;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.49.0/24;11479;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.50.0/24;11707;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.51.0/24;11848;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.52.0/24;11473;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.53.0/24;12486;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.54.0/24;11474;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.55.0/24;11475;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.56.0/24;12170;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.57.0/24;12173;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.60.0/24;11849;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.61.0/24;12166;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.62.0/24;12167;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.64.0/24;11433;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.65.0/24;11432;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.66.0/24;11431;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.68.0/24;11436;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.70.0/24;11435;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.71.0/24;11434;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.72.0/21;14205;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.80.0/28;14206;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.81.0/24;11485;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.82.0/24;11487;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.83.0/24;11488;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.95.0/24;14272;United Kingdom;GB;Newry Mourne and Down;NMD;Newcastle;54.2287;-5.9355
10.17.101.0/24;11457;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.104.0/29;12147;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.104.8/30;12143;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.104.16/28;12149;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.104.64/29;12148;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.110.0/24;11458;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.111.0/24;11460;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.112.0/24;11447;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.113.0/24;11446;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.120.0/24;11442;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.121.0/24;11441;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.122.0/24;11440;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.123.0/24;11438;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.125.0/24;11445;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.126.0/24;11443;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.128.0/24;11542;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.129.0/24;11544;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.130.0/24;11551;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.131.0/24;11545;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.134.0/24;11540;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.135.0/24;11541;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.136.0/24;11501;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.137.208/28;12626;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.138.0/24;11552;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.139.0/24;11500;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.140.0/24;11546;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.141.0/24;11547;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.142.0/24;11548;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.143.0/24;11549;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.144.0/24;11448;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.145.0/24;11449;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.146.0/24;11451;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.147.0/24;11453;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.192.0/24;14211;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.193.0/24;14203;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.200.0/24;11534;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.201.0/24;11535;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.202.0/24;11536;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.203.0/24;11555;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.204.0/24;11503;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.205.0/24;14214;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.206.0/27;11913;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.207.0/24;11950;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.208.0/24;11569;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.209.0/24;11563;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.211.0/24;11565;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.212.0/24;11556;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.215.0/24;11055;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.240.0/25;14204;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.240.128/26;14212;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.17.253.0/24;11506;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.254.0/24;12442;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.17.255.0/28;14209;United Kingdom;GB;South Gloucestershire;M6;Almondsbury;51.559;-2.5718
10.18.26.40/29;9901;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.18.26.48/29;9900;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.18.38.0/24;14110;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.39.0/26;14104;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.39.64/26;14102;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.40.0/21;14098;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.49.0/24;14099;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.50.0/24;14267;United Kingdom;GB;Suffolk;N5;Euston;52.3817;0.7481
10.18.52.0/22;14100;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.56.0/24;14101;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.57.0/26;14112;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.58.0/24;14105;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.16/30;14089;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.20/30;14081;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.24/30;14090;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.28/30;14082;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.32/30;14091;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.36/30;14083;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.40/29;14092;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.48/30;14085;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.52/30;14084;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.56/29;14086;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.59.64/30;14087;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.60.0/23;14106;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.62.0/24;14107;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.65.0/24;14108;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.66.0/23;14109;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.68.16/28;14094;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.68.32/27;14096;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.68.64/26;14095;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.68.128/25;14103;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.76.0/23;14238;United Kingdom;GB;West Sussex;P6;Worthing;50.8253;-0.3719
10.18.78.0/24;14079;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.79.0/24;14078;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.80.0/21;14077;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.88.0/21;14076;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.99.0/29;14097;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.99.8/29;14075;United Kingdom;GB;Telford and Wrekin;O2;Telford;52.701;-2.5052
10.18.100.0/27;13893;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.18.100.32/27;13898;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.18.100.128/26;13896;United Kingdom;GB;England;ENG;London;51.5329;-0.005
10.18.148.0/24;8417;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.18.158.0/24;11206;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.18.192.0/24;13986;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.194.0/24;13967;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.196.0/24;13966;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.204.0/23;13965;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.250.0/25;13964;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.250.128/25;13963;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.251.0/25;13997;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.252.0/24;13995;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.18.255.0/28;13984;United Kingdom;GB;Rotherham;L3;Rotherham;53.4477;-1.2045
10.19.6.0/24;14198;United Kingdom;GB;Birmingham;A7;Aston;52.4976;-1.8786
10.19.8.0/24;14197;United Kingdom;GB;Birmingham;A7;Aston;52.4976;-1.8786
10.19.9.0/28;14196;United Kingdom;GB;Birmingham;A7;Aston;52.4976;-1.8786
10.19.12.0/22;14194;United Kingdom;GB;Birmingham;A7;Aston;52.4976;-1.8786
10.19.19.0/28;4695;India;IN;Maharashtra;16;Mumbai;19.0748;72.8856
10.19.32.64/27;14173;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.32.96/27;11762;Netherlands;NL;North Holland;07;Amsterdam;52.3534;4.9087
10.19.33.0/24;14175;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.36.0/25;14168;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.36.128/25;14176;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.47.0/24;14166;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.48.0/26;14161;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.48.64/27;14162;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.48.96/27;14164;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.48.128/27;14146;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.48.176/28;14160;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
10.19.48.192/29;14163;United Kingdom;GB;Highland;V3;Inverness;57.4833;-4.2328
